gauge_id,Expected_Records,Available_File_Records,Valid_Records,Missing_Records,Missing_Percent,2012_2014_Expected_Records,2012_2014_Valid_Records,2012_2014_Missing_Records,2012_2014_Missing_Percent,
9535100,12418,365,365,12053,97.061,1096,0,1096,100,
2427250,12418,9223,9131,3287,26.47,1096,1004,92,8.394,
9484600,12418,9223,9131,3287,26.47,1096,1096,0,0,
7362587,12418,9240,9148,3270,26.333,1096,1024,72,6.569,
7263295,12418,9275,9183,3235,26.051,1096,1024,72,6.569,
3050000,12418,9661,9227,3191,25.697,1096,662,434,39.599,
10310500,12418,9479,9387,3031,24.408,1096,1096,0,0,
2096846,12418,9557,9465,2953,23.78,1096,1004,92,8.394,
5592575,12418,9588,9496,2922,23.53,1096,1096,0,0,
7359610,12418,9588,9496,2922,23.53,1096,1009,87,7.938,
6440200,12418,9588,9496,2922,23.53,1096,1059,37,3.376,
3338780,12418,9539,9496,2922,23.53,1096,1047,49,4.471,
6221400,12418,9588,9496,2922,23.53,1096,1030,66,6.022,
14187000,12418,9588,9496,2922,23.53,1096,1096,0,0,
6188000,12418,10837,9832,2586,20.825,1096,1004,92,8.394,
9484000,12418,11418,9854,2564,20.647,1096,1096,0,0,
9107000,12418,9954,9862,2556,20.583,1096,1096,0,0,
6291500,12418,9862,9862,2556,20.583,1096,0,1096,100,
2363000,12418,9954,9862,2556,20.583,1096,1011,85,7.755,
4115265,12418,9954,9862,2556,20.583,1096,1030,66,6.022,
12095000,12418,9996,9862,2556,20.583,1096,1010,86,7.847,
6906800,12418,9974,9882,2536,20.422,1096,1067,29,2.646,
10348850,12418,9884,9884,2534,20.406,1096,0,1096,100,
2196000,12418,11369,9908,2510,20.213,1096,0,1096,100,
1350080,12418,10394,9937,2481,19.979,1096,639,457,41.697,
8155200,12418,12784,10149,2269,18.272,1096,1080,16,1.46,
12388400,12418,10227,10227,2191,17.644,1096,0,1096,100,
1594950,12418,10319,10227,2191,17.644,1096,1004,92,8.394,
10023000,12418,10319,10227,2191,17.644,1096,1096,0,0,
6934000,12418,10319,10227,2191,17.644,1096,1096,0,0,
10336740,12418,10227,10227,2191,17.644,1096,0,1096,100,
10166430,12418,10319,10227,2191,17.644,1096,1096,0,0,
2464360,12418,10319,10227,2191,17.644,1096,1096,0,0,
12383500,12418,10227,10227,2191,17.644,1096,0,1096,100,
5062500,12418,12784,10261,2157,17.37,1096,1017,79,7.208,
2198100,12418,10435,10343,2075,16.71,1096,1004,92,8.394,
4213075,12418,10459,10367,2051,16.516,1096,1096,0,0,
2193340,12418,10487,10395,2023,16.291,1096,1017,79,7.208,
2215100,12418,10502,10410,2008,16.17,1096,1004,92,8.394,
8050800,12418,10684,10592,1826,14.704,1096,1009,87,7.938,
6468250,12418,10684,10592,1826,14.704,1096,1039,57,5.201,
9378170,12418,10684,10592,1826,14.704,1096,1020,76,6.934,
6154410,12418,10866,10592,1826,14.704,1096,0,1096,100,
14308990,12418,10684,10592,1826,14.704,1096,1096,0,0,
3281100,12418,12784,10592,1826,14.704,1096,639,457,41.697,
2415000,12418,10684,10592,1826,14.704,1096,1004,92,8.394,
13310700,12418,12784,10651,1767,14.229,1096,1096,0,0,
6037500,12418,11476,10653,1765,14.213,1096,1052,44,4.015,
5488200,12418,10776,10684,1734,13.964,1096,1058,38,3.467,
