gauge_id,p_mean,pet_mean,frac_snow,aridity,high_prec_freq,high_prec_dur,gauge_lat,gauge_lon,elev_mean,slope_mean,area_gages2,soil_depth_pelletier,soil_porosity,soil_conductivity,sand_frac,clay_frac,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,q_mean,runoff_ratio,baseflow_index,stream_elas,carbonate_rocks_frac,geol_permeability
1013500,3.126678987,1.971554511,0.313440357,0.630558659,12.95,1.348958333,47.23739,-68.58264,250.31,21.64152,2252.7,7.404761905,0.461148751,1.106522476,27.84182729,16.27573172,0.9063,4.167303946,3.340731859,0.80456742,0.371648163,1.699154508,0.543437467,0.585225956,1.845324162,0,-14.7019
1022500,3.608125941,2.119255948,0.245259009,0.587356423,20.55,1.205278592,44.60797,-67.93524,92.68,17.79072,573.6,17.41280788,0.415905486,2.375005063,59.39015616,12.03764581,0.9232,4.871392439,3.746691616,0.863935769,0.337712462,2.173062148,0.602268929,0.554478448,1.702782371,0,-14.2138
1030500,3.274405202,2.043593566,0.277018403,0.624111385,17.15,1.207746479,45.50097,-68.30596,143.8,12.79195,3676.17,19.01141439,0.459090984,1.289807346,32.23545843,14.77682378,0.8782,4.685199719,3.665542964,0.858502041,0.35139339,1.820107544,0.555858983,0.508440713,1.377505203,0.052140094,-14.4918
1031500,3.522956879,2.071323696,0.291836473,0.58795034,18.9,1.14893617,45.17501,-69.3147,247.8,29.56035,769.05,7.252557042,0.45023595,1.37329168,35.26903044,12.65412532,0.9548,4.903259373,3.990843406,0.870668492,0.398619402,2.03024228,0.576289279,0.445090526,1.648692987,0.026257979,-14.841
1047000,3.323145791,2.090023874,0.280118127,0.628929336,20.1,1.165217391,44.8692,-69.9551,310.38,49.92122,909.1,5.359654944,0.422748959,2.615154283,55.16313347,10.3036221,0.9906,5.086810765,4.300978387,0.891382765,0.445473208,2.182869575,0.656868435,0.473464931,1.510237549,0,-14.4819
1052500,3.730858316,2.096423231,0.352698254,0.561914459,13.5,1.129707113,44.87739,-71.05749,615.7,60.05183,383.82,1.301349325,0.452325651,1.262995374,30.55766622,11.14332601,1,4.800829962,4.1243127,0.880034058,0.47732793,2.405104604,0.64465182,0.459699942,1.025555476,0,-15.1658
1054200,4.067132101,2.128355058,0.29964154,0.523306105,17.5,1.194539249,44.39044,-70.97964,472.31,90.13951,180.98,0.914754098,0.418460873,2.919142483,58.37616918,9.851261621,1,5.019827283,4.28355132,0.886711471,0.455084305,2.731741571,0.671662858,0.437049818,1.35780829,0,-14.2147
1055000,3.494183436,2.093235291,0.306048852,0.599062794,19.15,1.167682927,44.64275,-70.58878,423.12,72.81304,250.64,2.127058824,0.424025868,2.550001259,53.86201109,10.34632347,0.9916,5.030032987,4.31922587,0.886163454,0.471431452,2.279897481,0.652483627,0.438131658,1.366587125,0,-14.3578
1057000,3.570499658,2.132743778,0.251157673,0.597323619,20.35,1.16954023,44.30399,-70.53968,215.59,32.68445,190.92,3.759146341,0.404117933,4.030392332,69.00673809,7.817564975,0.9415,5.362948699,4.587077127,0.905510481,0.458742009,1.823550607,0.510727008,0.474677471,1.28068088,0.077433416,-13.9903
1073000,3.503025325,2.207615715,0.175032435,0.630202614,20.85,1.226470588,43.1487,-70.96506,37.67,4.75043,31.3,19.90909091,0.41639654,2.948670506,56.57096131,9.967266116,0.9008,4.943949743,4.035087976,0.841420652,0.379144183,1.703194042,0.486206603,0.501891679,2.278788743,0,-14.1
1078000,3.562888433,2.184144572,0.239718522,0.613026373,21.45,1.172131148,43.56646,-71.74786,346.92,49.77182,222.46,3.639784946,0.40389262,4.025400765,69.15740644,7.848279334,0.9873,5.391687137,4.505298773,0.898650643,0.424911376,1.755803457,0.492803379,0.491188699,1.526653663,0,-14.1061
1118300,3.897430527,2.310036975,0.111232483,0.592707672,21.5,1.295180723,41.47482,-71.83424,36.7,8.76539,10.36,12.92,0.414290146,3.271004515,60.60784181,9.27338817,0.933,5.582120612,4.807568587,0.911301526,0.469205885,2.12957507,0.546404883,0.559172033,0.382857209,0,-14.1
1121000,3.719590691,2.301408433,0.154227151,0.618726259,21.5,1.197771588,41.84371,-72.16897,141.54,16.99385,70.25,8.962264151,0.41727023,3.068217977,55.81394753,9.166663022,0.9652,5.434685119,4.823193253,0.908561005,0.497627232,1.958340612,0.526493578,0.536306404,1.16604444,0,-14.1
1123000,3.8242423,2.306333525,0.136053399,0.603082479,21.15,1.233236152,41.67177,-72.0523,120.1,17.14893,77.85,9.085106383,0.41712277,3.079459536,52.74689479,8.689368206,0.9141,5.403096653,4.806143702,0.907407231,0.506890048,1.737335292,0.454295297,0.585541653,0.963139984,0,-14.1
1134500,3.467412731,2.091698084,0.280582089,0.603244622,15.85,1.152727273,44.51172,-71.83731,450.54,47.54354,195.13,4.074074074,0.439227361,1.755953065,42.58599324,12.7242065,0.9963,4.930550384,4.273606729,0.886216249,0.476794083,2.077579238,0.599172755,0.487598316,1.107874645,0,-14.1198
1137500,3.98419165,2.144045982,0.301814976,0.538138265,15.5,1.280991736,44.26867,-71.63036,784.85,110.13062,228.55,1.561097257,0.419818682,2.777689532,53.80058342,8.728078551,0.9972,4.541467702,3.658222608,0.865791461,0.393542621,2.379463369,0.597226132,0.541710337,1.406600877,0,-14.1
1139000,3.13454757,2.113980287,0.246562672,0.67441321,18.65,1.169278997,44.15034,-72.06509,373.34,43.10796,246.33,3.75,0.436952792,1.886761448,44.45661527,13.2940923,0.9737,5.069473862,4.389500633,0.880091527,0.467340843,1.697472696,0.541536747,0.572169832,2.162962246,0.521678757,-12.922
1139800,3.3035154,2.127185339,0.262328973,0.643915672,19.45,1.164670659,44.09284,-72.33565,518.15,40.99895,22.8,2.510638298,0.435806653,1.936255362,45.31480455,13.09817577,1,5.213125842,4.633122171,0.899032856,0.526026716,1.811682772,0.548410573,0.607173226,1.747615158,1,-11.8
1142500,3.314670773,2.147046776,0.252307891,0.647740582,19.8,1.128205128,43.93451,-72.65788,346.62,46.92575,82.17,2.876811594,0.43802036,1.778642926,43.40659614,14.43857614,0.9799,4.886291991,4.237053137,0.884819537,0.493403982,1.723016458,0.519815262,0.571788087,1.506497417,0.764501415,-12.5655
1144000,3.420859685,2.157740342,0.248466349,0.630759675,19.05,1.133928571,43.71424,-72.41815,459.8,60.29261,1790.24,2.106799451,0.436028932,1.876624414,44.9595193,13.08239523,0.9813,5.164034451,4.495081274,0.897221568,0.492946827,1.858755088,0.543359056,0.562748927,1.72902621,0.32370672,-13.3802
1162500,3.783534565,2.257490363,0.226769185,0.596661752,21.1,1.14673913,42.68259,-72.11508,310.07,18.45782,49.71,9.323076923,0.408761833,3.658027998,65.4867641,8.775571804,0.9663,5.402681684,4.149711912,0.884472664,0.33293526,1.835881419,0.485229192,0.508575106,1.153614394,0,-14.1
1169000,3.921166324,2.252516537,0.238972606,0.574450648,19.6,1.126436782,42.63842,-72.72509,374.89,49.54362,230.64,3.955613577,0.439941195,1.70345681,42.5077621,12.69671129,0.997,5.378126057,4.606850213,0.904142372,0.45568448,2.236962716,0.570484017,0.51188818,1.08151278,0.019691865,-14.2609
1170100,3.894581793,2.242787461,0.234653735,0.57587376,19.95,1.108333333,42.70342,-72.67065,325.71,49.33091,106.99,3.654054054,0.431894768,2.042825775,48.4324115,11.70596598,0.997,5.384063869,4.619936647,0.899812263,0.456794566,2.171760805,0.55763646,0.536996501,1.433915354,0.318774098,-13.7095
